"Year","Quarter","Group","Unit","Inflation Deflator","Adult Population","Working Age Population","Household Population","Real Total Factor Income","Real Factor Income Share","Real Factor Income Per Unit Growth","Real Factor Income Per Unit"
"1992","4","Bottom 50%","Households","0.51835642","92389410.58072124","76143254.10874902","66300532.09600723","964632417833.5615","0.08975713765811427","-0.13822847679931768","14549.39179728927"
"1993","1","Bottom 50%","Households","0.52126547","92674363.53238845","76360252.96996595","66546204.19064913","972108310107.9432","0.09010368023120402","-0.13475585858912026","14608.020426273102"
"1993","2","Bottom 50%","Households","0.5243655233333333","92960665.9624782","76577165.87071373","66771980.005016364","986215146137.9877","0.09034085929820393","-0.12516789357173025","14769.895187530705"
"1993","3","Bottom 50%","Households","0.5274807","93200464.87892322","76755779.3035493","66964344.63326957","988701189503.4613","0.09035546204449556","-0.12548203861286794","14764.591439191801"
"1993","4","Bottom 50%","Households","0.5303591866666667","93444114.85211547","76937579.62658465","67159460.147006","1005750012009.9047","0.09075695321511787","-0.11298666299900262","14975.552361624237"
"1994","1","Bottom 50%","Households","0.5328941133333334","93724502.06183432","77157526.49273604","67397238.3044157","1016084199623.2578","0.09056894661101308","-0.1070340543744733","15076.050965677126"
"1994","2","Bottom 50%","Households","0.53546721","94016511.5635791","77390983.89922352","67651525.80696471","1043186516586.8452","0.09153935136162698","-0.08666170186123083","15419.999832131642"
"1994","3","Bottom 50%","Households","0.5385366699999999","94274122.83548892","77596123.89214993","67881074.02504021","1059543788390.3975","0.0921122379093621","-0.07547745852502502","15608.824751351889"
"1994","4","Bottom 50%","Households","0.54146097","94529596.89402372","77799505.07806915","68109081.13029765","1076914868383.8302","0.09251040829238276","-0.06346577762281598","15811.619398059613"
"1995","1","Bottom 50%","Households","0.54440063","94817418.69540155","78037014.62606013","68345463.49385877","1087239133422.5768","0.09298539242268163","-0.05775751456837099","15907.99268659977"
"1995","2","Bottom 50%","Households","0.5470118733333333","95114435.42358232","78285846.11740573","68581014.86206768","1079380905258.1342","0.09181004397075702","-0.06778062852750154","15738.77125366283"
"1995","3","Bottom 50%","Households","0.5497072133333333","95347855.15539241","78482332.31674652","68770707.45875834","1081809595018.0492","0.09102282903487215","-0.06826022188848142","15730.674221532596"
"1995","4","Bottom 50%","Households","0.55235668","95593892.4325586","78689201.78449774","68969488.04429793","1087025123202.0459","0.09071496744037515","-0.06646656038361427","15760.95682345602"
"1996","1","Bottom 50%","Households","0.5550137799999999","95887064.18999541","78944114.20517665","69266514.75782515","1093043848919.2589","0.09004531406533049","-0.0653230161348192","15780.263417913286"
"1996","2","Bottom 50%","Households","0.5573119733333334","96208101.10049133","79226601.98908466","69615868.98632796","1106703529521.659","0.08987190912821605","-0.05839155203019672","15897.288156224944"
"1996","3","Bottom 50%","Households","0.55913687","96483756.2361548","79471728.54396896","69932453.22268344","1129250509369.749","0.09088758299026242","-0.043557575863217866","16147.731951772326"
"1996","4","Bottom 50%","Households","0.5621223066666667","96760317.56236793","79717605.36173974","70249720.69129007","1143912361007.7268","0.09078328411629866","-0.03551505935753653","16283.514720786003"
"1997","1","Bottom 50%","Households","0.56547417","97082562.47389312","80016737.74072596","70533402.8084259","1163380680911.1113","0.09137981752473039","-0.02304555973272585","16494.038775797362"
"1997","2","Bottom 50%","Households","0.5666194966666667","97417743.43734373","80334356.85444619","70793104.01829505","1189549441209.903","0.09214869733414342","-0.00473474669891118","16803.182424413655"
"1997","3","Bottom 50%","Households","0.5690780666666666","97693612.71168613","80603069.19199294","71009705.2058812","1207183948304.1272","0.09205464598062242","0.006938722532790393","17000.267002997574"
"1997","4","Bottom 50%","Households","0.5709487400000001","97957680.70584475","80862022.18360226","71217719.72959036","1239414409318.8171","0.09330435158467587","0.03080324396780142","17403.17457543998"
"1998","1","Bottom 50%","Households","0.57178863","98268338.38761188","81145243.64987667","71485743.85454553","1263731999060.453","0.09414504438874155","0.04708717841401409","17678.098190204346"
"1998","2","Bottom 50%","Households","0.5731324566666666","98593741.79084778","81433559.39318562","71777582.91449578","1280487164780.4417","0.09406331939249009","0.0566561861977371","17839.65289421639"
"1998","3","Bottom 50%","Households","0.57559864","98879545.76692389","81689170.229177","72040599.32455657","1292933659253.5364","0.09381149293980576","0.06303172173668273","17947.291823998086"
"1998","4","Bottom 50%","Households","0.5771792366666667","99156140.95336354","81937168.07357222","72296891.94239414","1301510512011.4902","0.09355075741106995","0.06629004048234875","18002.30240946635"
"1999","1","Bottom 50%","Households","0.5790269366666666","99501062.42884834","82253218.77504171","72618609.92087676","1322923869426.696","0.09358648355797343","0.07903174323764332","18217.422102517765"
"1999","2","Bottom 50%","Households","0.58121828","99863116.9078095","82589254.37841761","72960691.70126548","1338362284640.5076","0.09428343921466871","0.08650579457460367","18343.607406031406"
