DATE,WUIUSA
2016-04-01,0.1240233
2016-07-01,0.3530824
2016-10-01,0.2993833
2017-01-01,0.4282248
2017-04-01,0.1038745
2017-07-01,0.0542182
2017-10-01,0.1571503
2018-01-01,0.0
2018-04-01,0.210544
2018-07-01,0.3077396
2018-10-01,0.2508309
2019-01-01,0.4806372
2019-04-01,0.4619886
2019-07-01,0.4248088
2019-10-01,0.7867408
2020-01-01,0.7469655
2020-04-01,0.3310801
2020-07-01,0.1833987
2020-10-01,0.2181596
2021-01-01,0.0
2021-04-01,0.1134687
2021-07-01,0.1545277
2021-10-01,0.1208386
2022-01-01,0.1991437
2022-04-01,0.1705709
2022-07-01,0.1706291
2022-10-01,0.1662234
2023-01-01,0.371767
2023-04-01,0.5849664
2023-07-01,0.1833069
2023-10-01,0.3281486
